Record ID,Scientific Name,Matched.Scientific.Name,Revised CTDB name,Taxon Rank - matched,Species - matched,locality,Latitude - original,Longitude - original,Coordinate Uncertainty in Metres - parsed,Collector,Outlier for layer,Taxon identification issue,Data Resource ID,Data Resource Name,Suspected outlier,geodetic Datum Assumed Wgs 84,Habitat incorrect for species,Homonym issues with supplied name,incomplete Collection Date,inferred Duplicate Record,Name not in national checklists,Name not recognised
10152b01-9b2b-4377-b926-b8af2e0a8014,"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,,genus,,"The lagoon, LORD HOWE ISLAND",-31.529,159.061,750,J. Veron,,conferSpecies,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
1017b21e-8324-4866-9b88-58de87b00b14,"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,,genus,,"Lagoon 'passages', LORD HOWE ISLAND",-31.539,159.061,750,J. Veron,,conferSpecies,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7000475e-9d64-439e-aa87-7fa8bf896648,"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,,genus,,"Heron Island reef, central N side",-23.438,151.968,500,J. Veron,,conferSpecies,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
c0dcd892-069c-4475-876d-757f7b21a417,"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,,genus,,"Northern and eastern bays and promontories, LORD HOWE ISLAND",-31.466,159.15,3000,J. Veron,,conferSpecies,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
d6e7e97b-d3e7-4393-9f1c-e4d987eb2ae8,"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,,genus,,"The reef front, LORD HOWE ISLAND",-31.547,159.059,1000,J. Veron,,conferSpecies,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
122b0df0-4e6c-45b6-a575-6c4c4f0fdd31,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Maer Island (Murray Islands), E side",-9.912,144.066,1000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
6f96359c-e521-4e36-ba8f-ce9f8901be25,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Heron Island reef, central S side",-23.47,151.963,500,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
771623d6-9001-4621-8d39-e933ecbb4d46,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Sue Island, SW and NW sides",-10.2,142.81,2000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
7d67f19b-d5fb-4b2b-aa70-4b9c8484b393,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,Swain Reef,-21.833,151.8,1000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
93d2541c-46a6-4bd3-8b06-cea0195c8530,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,Swain Reefs,-21.5,152.416,1000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
93e5e850-830f-4271-ba8e-7aafae8e1f2e,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,The barrier reef E from Murray Island,-9.89,144.17,15000,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
952751c6-405c-4fa0-8239-0563b4cabada,"Acanthastrea echinata (Dana, 1846)",Acanthastrea.echinata,Acanthastrea echinata,species,Acanthastrea echinata,"Orpheus Island (Palm Islands), NW point",-18.567,146.48,500,J. Veron,,noIssue,dr684,Scleractinia of Eastern Australia - AIMS Monograph Series - John (Charlie) Veron,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
