Scientific Name,Matched Scientific Name,Revised CTDB name,,Species - matched,locality,Latitude - original,Longitude - original,Year - parsed,el 954 chl,el 2097 salinity max,el 2096 salinity min,el 955 temp,el 947 turb
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,Acanthastrea,,,"Heron Island reef, central N side",-23.438,151.968,1979,0.5021319,35.71,35.11,24.352186,0.07023853
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,Acanthastrea,,,"The lagoon, LORD HOWE ISLAND",-31.529,159.061,1979,0.2158995,35.7,35.6,21.227112,0.044356234
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,Acanthastrea,,,"Lagoon 'passages', LORD HOWE ISLAND",-31.539,159.061,1979,0.2158995,35.7,35.61,21.216055,0.044356234
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,Acanthastrea,,,"Northern and eastern bays and promontories, LORD HOWE ISLAND",-31.466,159.15,1979,0.19233921,35.7,35.61,21.288193,0.043319993
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,Acanthastrea,,,"The reef front, LORD HOWE ISLAND",-31.547,159.059,1979,0.2158995,35.7,35.61,21.107761,0.044356234
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Pompey Complex, W side of a major channel near seaward exit",-20.975,150.515,1979,0.503741,35.57,35.01,25.278969,0.071129635
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Bewick Island, NE corner",-14.4251,144.8154,1979,0.6497173,35.42,34.68,26.18764,0.08600134
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Lizard Island, NE side",-14.65,145.462,1979,0.3675777,35.46,34.739998,26.416006,0.05905779
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Fantome Island (Palm Islands), N and NW sides",-18.659,146.511,1979,0.95908695,,,25.8367,0.10684275
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Pompey Complex, SW side",-21.013,150.508,1979,0.503741,35.57,35.02,25.249443,0.071129635
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Warrior Reef, SE corner",-9.8,143.02,1979,1.0499648,35.41,33.85,27.727795,0.11430453
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Sue Island, SW and NW sides",-10.2,142.81,1979,0.80575466,35.53,33.989998,27.468773,0.09777178
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,Swain Reef,-21.833,151.8,1979,0.55869067,35.6,35.07,25.118498,0.07361401
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,Swain Reefs,-21.5,152.416,1979,0.49115217,35.54,35.12,25.386366,0.06887172
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,The barrier reef E from Murray Island,-9.89,144.17,1979,0.6182971,35.03,34.28,26.804718,0.0851733
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Orpheus Island (Palm Islands), NW point",-18.567,146.48,1979,0.76855814,35.559998,34.48,26.037094,0.09267254
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Fantome Island (Palm Islands), W side",-18.682,146.513,1979,0.95908695,35.57,34.469997,25.836819,0.10684275
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,MacGillivray Reef,-14.651,145.491,1979,0.3675777,35.46,34.739998,26.456825,0.05905779
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Maer Island (Murray Islands), E side",-9.912,144.066,1979,0.81454706,35.079998,34.29,26.851397,0.09687211
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Nara Inlet, Hook Island, Whitsunday Islands, S side of entrance",-20.147,148.904,1979,,,,25.356184,
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Lizard Island lagoon, SW entrance near Bird Islet",-14.688,145.468,1979,0.3675777,35.469997,34.739998,26.44021,0.05905779
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,Between Orpheus and Fantome Islands (Palm Islands),-18.657,146.503,1979,0.95908695,35.57,34.469997,25.8367,0.10684275
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,,Acanthastrea echinata,"Bullumbooroo Bay, Great Palm Island",-18.693,146.596,1979,0.41033953,,,25.965076,0.06353092
