Scientific Name,Matched Scientific Name,Revised.CTDB.name,Species - matched,Latitude - original,Longitude - original,Coordinate Uncertainty in Metres - parsed,Year - parsed,wave power,marspec_var,marspec_SST,MODIS_SST,turbidity,,,
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,Acanthastrea,,-31.547,159.059,1000,1979,,3.8955998,21.34,21.107761,0.044356234,,,
"Montipora aequituberculata Bernard, 1897",Montipora aequituberculata,Montipora aequituberculata,Montipora aequituberculata,-31.547,159.059,1000,1983,,3.8955998,21.34,21.107761,0.044356234,,,
"Montipora mollis Bernard, 1897",Montipora mollis,Montipora mollis,Montipora mollis,-31.547,159.059,1000,1983,,3.8955998,21.34,21.107761,0.044356234,,,
"Porites (Porites) lichen Dana, 1846",Porites (Porites) lichen,Porites lichen,Porites (Porites) lichen,-31.547,159.059,1000,1981,,3.8955998,21.34,21.107761,0.044356234,,,
"Porites (Synaraea) rus (Forskal, 1775)",Porites (Synaraea) rus,Porites rus,Porites (Synaraea) rus,-31.547,159.059,1000,1981,,3.8955998,21.34,21.107761,0.044356234,,,
"Scolymia cf. vitiensis Bruggemann, 1877",Scolymia,Scolymia,,-31.547,159.059,1000,1979,,3.8955998,21.34,21.107761,0.044356234,,,
"Montipora danae Edwards & Haime, 1851",Montipora danae,Montipora danae,Montipora danae,-31.543,159.07,750,1983,,3.9146,21.32,21.216055,0.044356234,,,
"Scolymia cf. vitiensis Bruggemann, 1877",Scolymia,Scolymia,,-31.543,159.07,750,1979,,3.9146,21.32,21.216055,0.044356234,,,
"Favia speciosa (Dana, 1846)",Favia speciosa,Dipsastraea speciosa,Favia speciosa,-31.54,159.05,7000,1981,,3.8827,21.33,21.107761,0.044356234,,,
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,Acanthastrea,,-31.539,159.061,750,1979,,3.8718,21.32,21.216055,0.044356234,,,
"Acanthastrea hillae Wells, 1955",Acanthastrea hillae,Homophyllia hillae,Acanthastrea hillae,-31.539,159.061,750,1979,,3.8718,21.32,21.216055,0.044356234,,,
"Acropora (Acropora) hyacinthus (Dana, 1846)",Acropora (Acropora) hyacinthus,Acropora hyacinthus,Acropora (Acropora) hyacinthus,-31.539,159.061,750,1983,,3.8718,21.32,21.216055,0.044356234,,,
"Acropora (Isopora) palifera (Lamarck, 1816)",Acropora (Isopora) palifera,Isopora palifera,Acropora (Isopora) palifera,-31.539,159.061,750,1983,,3.8718,21.32,21.216055,0.044356234,,,
Coscinaraea wellsi,Coscinaraea wellsi,Cycloseris wellsi,Coscinaraea wellsi,-31.539,159.061,750,1979,,3.8718,21.32,21.216055,0.044356234,,,
"Leptoseris hawaiiensis Vaughan, 1907",Leptoseris hawaiiensis,Leptoseris hawaiiensis,Leptoseris hawaiiensis,-31.539,159.061,750,1979,,3.8718,21.32,21.216055,0.044356234,,,
"Montipora danae Edwards & Haime, 1851",Montipora danae,Montipora danae,Montipora danae,-31.539,159.061,750,1983,,3.8718,21.32,21.216055,0.044356234,,,
"Mycedium elephantotus (Pallas, 1766)",Mycedium elephantotus,Mycedium elephantotus,Mycedium elephantotus,-31.539,159.061,750,1979,,3.8718,21.32,21.216055,0.044356234,,,
"Pavona cf. explanulata (Lamarck, 1816)",Pavona,Pavona,,-31.539,159.061,750,1979,,3.8718,21.32,21.216055,0.044356234,,,
"Pavona maldivensis (Gardiner, 1905)",Pavona maldivensis,Pavona maldivensis,Pavona maldivensis,-31.539,159.061,750,1979,,3.8718,21.32,21.216055,0.044356234,,,
"Porites (Porites) lichen Dana, 1846",Porites (Porites) lichen,Porites lichen,Porites (Porites) lichen,-31.539,159.061,750,1981,,3.8718,21.32,21.216055,0.044356234,,,
"Scolymia cf. vitiensis Bruggemann, 1877",Scolymia,Scolymia,,-31.539,159.061,750,1979,,3.8718,21.32,21.216055,0.044356234,,,
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,Acanthastrea,,-31.529,159.061,750,1979,,3.8509998,21.3,21.227112,0.044356234,,,
Acanthastrea lordhowensis,Acanthastrea lordhowensis,Micromussa lordhowensis,Acanthastrea lordhowensis,-31.529,159.061,750,1979,,3.8509998,21.3,21.227112,0.044356234,,,
"Scolymia cf. vitiensis Bruggemann, 1877",Scolymia,Scolymia,,-31.529,159.061,750,1979,,3.8509998,21.3,21.227112,0.044356234,,,
"Acropora (Acropora) divaricata (Dana, 1846)",Acropora (Acropora) divaricata,Acropora divaricata,Acropora (Acropora) divaricata,-31.528,159.05,1000,1983,,3.8634,21.3,21.322378,0.044356234,,,
"Acropora (Acropora) glauca (Brook, 1893)",Acropora (Acropora) glauca,Acropora glauca,Acropora (Acropora) glauca,-31.528,159.05,1000,1983,,3.8634,21.3,21.322378,0.044356234,,,
"Acropora (Isopora) palifera (Lamarck, 1816)",Acropora (Isopora) palifera,Isopora palifera,Acropora (Isopora) palifera,-31.528,159.05,1000,1983,,3.8634,21.3,21.322378,0.044356234,,,
"Turbinaria frondens (Dana, 1846)",Turbinaria frondens,Turbinaria frondens,Turbinaria frondens,-31.528,159.05,1000,1979,,3.8634,21.3,21.322378,0.044356234,,,
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,Acanthastrea,,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Acanthastrea hillae Wells, 1955",Acanthastrea hillae,Homophyllia hillae,Acanthastrea hillae,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Acropora (Acropora) glauca (Brook, 1893)",Acropora (Acropora) glauca,Acropora glauca,Acropora (Acropora) glauca,-31.466,159.15,3000,1983,,3.9517999,21.39,21.288193,0.043319993,,,
"Acropora (Acropora) hyacinthus (Dana, 1846)",Acropora (Acropora) hyacinthus,Acropora hyacinthus,Acropora (Acropora) hyacinthus,-31.466,159.15,3000,1983,,3.9517999,21.39,21.288193,0.043319993,,,
"Acropora (Acropora) latistella (Brook, 1892)",Acropora (Acropora) latistella,Acropora latistella,Acropora (Acropora) latistella,-31.466,159.15,3000,1983,,3.9517999,21.39,21.288193,0.043319993,,,
Acropora (Acropora) lovelli,Acropora (Acropora) lovelli,Acropora loveli,Acropora (Acropora) lovelli,-31.466,159.15,3000,1983,,3.9517999,21.39,21.288193,0.043319993,,,
Acropora (Acropora) yongei,Acropora (Acropora) yongei,Acropora yongei,Acropora (Acropora) yongei,-31.466,159.15,3000,1983,,3.9517999,21.39,21.288193,0.043319993,,,
"Leptoseris scabra Vaughan, 1907",Leptoseris scabra,Leptoseris scabra,Leptoseris scabra,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Montipora spongodes Bernard, 1897",Montipora spongodes,Montipora spongodes,Montipora spongodes,-31.466,159.15,3000,1983,,3.9517999,21.39,21.288193,0.043319993,,,
Montipora turtlensis,Montipora turtlensis,Montipora turtlensis,Montipora turtlensis,-31.466,159.15,3000,1983,,3.9517999,21.39,21.288193,0.043319993,,,
"Montipora venosa (Ehrenberg, 1834)",Montipora venosa,Montipora venosa,Montipora venosa,-31.466,159.15,3000,1983,,3.9517999,21.39,21.288193,0.043319993,,,
"Pavona cf. explanulata (Lamarck, 1816)",Pavona,Pavona,,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Pavona minuta Wells, 1954",Pavona minuta,Pavona minuta,Pavona minuta,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Pavona varians Verrill, 1864",Pavona varians,Pavona varians,Pavona varians,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Porites (Porites) lichen Dana, 1846",Porites (Porites) lichen,Porites lichen,Porites (Porites) lichen,-31.466,159.15,3000,1981,,3.9517999,21.39,21.288193,0.043319993,,,
"Scolymia cf. vitiensis Bruggemann, 1877",Scolymia,Scolymia,,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Turbinaria patula (Dana, 1846)",Turbinaria patula,Turbinaria patula,Turbinaria patula,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Turbinaria peltata (Esper, 1794)",Turbinaria peltata,Duncanopsammia peltata,Turbinaria peltata,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Turbinaria radicalis Bernard, 1896",Turbinaria radicalis,Turbinaria radicalis,Turbinaria radicalis,-31.466,159.15,3000,1979,,3.9517999,21.39,21.288193,0.043319993,,,
"Acropora (Acropora) anthocercis (Brook, 1893)",Acropora (Acropora) anthocercis,Acropora anthocercis,Acropora (Acropora) anthocercis,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) digitifera (Dana, 1846)",Acropora (Acropora) digitifera,Acropora digitifera,Acropora (Acropora) digitifera,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
"Acropora (Acropora) glauca (Brook, 1893)",Acropora (Acropora) glauca,Acropora glauca,Acropora (Acropora) glauca,-29.933,159.066,3000,1983,,3.2963,21.74,22.001612,0.04077379,,,
