Scientific Name,Matched Scientific Name,Revised.CTDB.name,Latitude - original,Longitude - original,Year - parsed,turbidity,highSST,lowSST,meanSST,waveenergy
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,,-31.466,159.15,1979,0.043319993,24.289999,18.8,21.39,
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,,-31.547,159.059,1979,0.044356234,24.22,18.75,21.34,
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,,-23.438,151.968,1979,0.07023853,26.88,21.279999,24.019999,0.061152
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,,-31.529,159.061,1979,0.044356234,24.14,18.75,21.3,
"Acanthastrea cf. bowerbanki Edwards & Haime, 1857",Acanthastrea,,-31.539,159.061,1979,0.044356234,24.18,18.75,21.32,
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-18.6,146.483,1979,0.09267254,28.689999,22.09,25.699999,0.033358
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-14.597,145.623,1979,0.06994386,28.24,24.42,26.359999,0.164298
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-11.739,144.101,1979,0.07918236,28.119999,24.529999,26.43,
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-23.449,151.905,1979,0.06308836,26.93,21.199999,24.019999,0.052519
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-21.5,152.416,1979,0.06887172,27.779999,22.519999,25.22,0.026827
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-18.686,146.566,1979,0.06353092,28.599998,22.21,25.67,0.044006
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-20.975,150.515,1979,0.071129635,28.05,21.81,25.06,0.04255
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-14.4251,144.8154,1979,0.08600134,28.32,23.23,25.93,0.06581
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-14.65,145.462,1979,0.05905779,28.33,23.93,26.17,0.159632
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-18.659,146.511,1979,0.10684275,,,,0.033358
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-21.013,150.508,1979,0.071129635,28.039999,21.77,25.029999,0.04255
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-9.8,143.02,1979,0.11430453,28.81,24.96,26.93,0.277624
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-21.5,152.416,1979,0.06887172,27.779999,22.519999,25.22,0.026827
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-9.89,144.17,1979,0.0851733,27.74,24.869999,26.51,0.025527
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-18.567,146.48,1979,0.09267254,28.81,22.16,25.74,0.033358
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-18.682,146.513,1979,0.10684275,28.71,22,25.619999,0.03283
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-14.651,145.491,1979,0.05905779,28.269999,23.93,26.17,0.159632
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-23.47,151.963,1979,0.07023853,27.019999,21.119999,24.029999,0.073587
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-10.2,142.81,1979,0.09777178,28.93,24.939999,27.099998,0.810446
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-21.833,151.8,1979,0.07361401,27.63,21.81,24.92,0.007151
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-9.912,144.066,1979,0.09687211,27.939999,24.83,26.59,0.092045
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-20.147,148.904,1979,,,,,0
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-14.688,145.468,1979,0.05905779,28.34,23.689999,26.109999,0.190269
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-18.657,146.503,1979,0.10684275,28.55,22.09,25.65,0.033358
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-18.693,146.596,1979,0.06353092,,,,0.044006
"Acanthastrea echinata (Dana, 1846)",Acanthastrea echinata,Acanthastrea echinata,-21.737,152.415,1979,0.063178934,27.66,22.09,24.939999,0.249797
"Acanthastrea hillae Wells, 1955",Acanthastrea hillae,Homophyllia hillae,-14.4251,144.8154,1979,0.08600134,28.32,23.23,25.93,0.06581
"Acanthastrea hillae Wells, 1955",Acanthastrea hillae,Homophyllia hillae,-31.539,159.061,1979,0.044356234,24.18,18.75,21.32,
"Acanthastrea hillae Wells, 1955",Acanthastrea hillae,Homophyllia hillae,-31.466,159.15,1979,0.043319993,24.289999,18.8,21.39,
"Acanthastrea hillae Wells, 1955",Acanthastrea hillae,Homophyllia hillae,-9.918,144,1979,0.09150131,27.939999,24.9,26.64,0.419661
Acanthastrea lordhowensis,Acanthastrea lordhowensis,Micromussa lordhowensis,-31.529,159.061,1979,0.044356234,24.14,18.75,21.3,
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-14.524,144.964,1983,0.11641185,28.49,23.1,25.849998,0.181785
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-12.132,143.808,1983,0.09033148,27.96,24.49,26.33,0.07497
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-16.6,150.283,1983,0.030781476,28.46,24.4,26.43,0.001776
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-18.657,146.503,1983,0.10684275,28.55,22.09,25.65,0.033358
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-9.867,143.167,1983,0.08475775,29.039999,25.269999,27.26,0.298591
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-10.766,143.983,1983,0.09077215,27.96,24.68,26.46,0.016214
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-18.567,146.48,1983,0.09267254,28.81,22.16,25.74,0.033358
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-18.772,146.532,1983,0.11222704,28.619999,21.779999,25.599998,0.043329
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-23.627,152.181,1983,0.05991871,26.859999,21.55,24.13,0.017618
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-16.28,149.96,1983,0.027516393,28.46,24.42,26.47,
"Acropora (Acropora) aculeus (Dana, 1846)",Acropora (Acropora) aculeus,Acropora aculeus,-14.688,145.468,1983,0.05905779,28.34,23.689999,26.109999,0.190269
