Name,Scientific.Name,locality,Latitude - processed,Longitude - processed,Coordinate Uncertainty in Metres - parsed,IMCRA Region - parsed,State - parsed,Year - parsed,coordinate Uncertainty In Meters,Data Resource ID
"Coscinaraea mcneilli Wells, 1962",Coscinaraea.mcneilli,"St. Vincent's Gulf, South Australia",-34.776,138.147,15000,Spencer Gulf Shelf Province,South Australia,1979,15000,dr684
"Scapophyllia cylindrica (Edwards & Haime, 1848)",Scapophyllia.cylindrica,Wai-Weer Island,-10.57,142.176,500,Northern Shelf Province,Queensland,1979,500,dr684
"Turbinaria reniformis Bernard, 1896",Turbinaria.reniformis,Wai-Weer Island,-10.57,142.176,500,Northern Shelf Province,Queensland,1979,500,dr684
"Acropora (Acropora) formosa (Dana, 1846)",Acropora.formosa,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1983,3000,dr684
"Acropora (Acropora) robusta (Dana, 1846)",Acropora.robusta,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1983,3000,dr684
"Coeloseris mayeri Vaughan, 1918",Coeloseris.mayeri,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1979,3000,dr684
"Cyphastrea serailia (ForskÇè_l, 1775)",Cyphastrea.serailia,"Thursday Island, SW corner",-10.59,142.2,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Diploastrea heliopora (Lamarck, 1816)",Diploastrea.heliopora,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1976,3000,dr684
"Echinopora lamellosa (Esper, 1795)",Echinopora.lamellosa,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1976,3000,dr684
"Euphyllia (Euphyllia) glabrescens (Chamisso & Eysenhardt, 1821)",Euphyllia.glabrescens,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1979,3000,dr684
"Favia favus (ForskÇè_l, 1775)",Favia.favus,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1976,3000,dr684
"Favia favus (ForskÇè_l, 1775)",Favia.favus,"Thursday Island, SW corner",-10.59,142.2,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Favia pallida (Dana, 1846)",Favia.pallida,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1976,3000,dr684
"Favia stelligera (Dana, 1846)",Favia.stelligera,"Thursday Island, SW corner",-10.59,142.2,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Favites russelli (Wells, 1954)",Favites.russelli,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1976,3000,dr684
"Fungia (Fungia) Fungites (Linnaeus, 1758)",Fungia.fungites,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1979,3000,dr684
"Goniastrea cf. favulus (Dana, 1846)",Goniastrea.favulus,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1976,3000,dr684
"Goniastrea palauensis (Yabe, Sugiyama & Eguchi, 1936)",Goniastrea.palauensis,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1976,3000,dr684
"Goniastrea palauensis (Yabe, Sugiyama & Eguchi, 1936)",Goniastrea.palauensis,"Thursday Island, SW corner",-10.59,142.2,5000,Northern Shelf Province,Queensland,1976,5000,dr684
"Goniopora minor Crossland, 1952",Goniopora.minor,"North West Reef, S side",-10.483,142.2,3000,Northern Shelf Province,Queensland,1981,3000,dr684
"Goniopora stokesi Edwards & Haime, 1851",Goniopora.stokesi,"Thursday Island, SW corner",-10.59,142.2,5000,Northern Shelf Province,Queensland,1981,5000,dr684
