trait,master_species,value
substrate_attachment,Acanthastrea.bowerbanki,attached
substrate_attachment,Acanthastrea.brevis,attached
substrate_attachment,Acanthastrea.echinata,attached
substrate_attachment,Acanthastrea.faviaformis,attached
substrate_attachment,Acanthastrea.hemprichii,attached
substrate_attachment,Acanthastrea.hillae,attached
substrate_attachment,Acanthastrea.ishigakiensis,attached
substrate_attachment,Acanthastrea.lordhowensis,attached
substrate_attachment,Acanthastrea.maxima,attached
substrate_attachment,Acanthastrea.regularis,attached
substrate_attachment,Acanthastrea.rotundoflora,attached
substrate_attachment,Acanthastrea.subechinata,attached
substrate_attachment,Acropora.abrolhosensis,attached
substrate_attachment,Acropora.abrotanoides,attached
substrate_attachment,Acropora.aculeus,attached
substrate_attachment,Acropora.acuminata,attached
substrate_attachment,Acropora.akajimensis,attached
substrate_attachment,Acropora.anthocercis,attached
substrate_attachment,Acropora.appressa,attached
substrate_attachment,Acropora.arabensis,attached
substrate_attachment,Acropora.aspera,attached
substrate_attachment,Acropora.austera,attached
substrate_attachment,Acropora.awi,attached
substrate_attachment,Acropora.azurea,attached
substrate_attachment,Acropora.batunai,attached
substrate_attachment,Acropora.bifurcata,attached
substrate_attachment,Acropora.branchi,attached
substrate_attachment,Acropora.brueggemanni,attached
substrate_attachment,Acropora.bushyensis,attached
substrate_attachment,Acropora.cardenae,attached
substrate_attachment,Acropora.carduus,attached
substrate_attachment,Acropora.caroliniana,attached
substrate_attachment,Acropora.cerealis,attached
substrate_attachment,Acropora.cervicornis,attached
substrate_attachment,Acropora.chesterfieldensis,attached
substrate_attachment,Acropora.clathrata,attached
substrate_attachment,Acropora.convexa,attached
substrate_attachment,Acropora.cophodactyla,attached
substrate_attachment,Acropora.copiosa,attached
substrate_attachment,Acropora.crateriformis,attached
substrate_attachment,Acropora.cuneata,attached
substrate_attachment,Acropora.cylindrica,attached
substrate_attachment,Acropora.cytherea,attached
substrate_attachment,Acropora.dendrum,attached
substrate_attachment,Acropora.derawanensis,attached
substrate_attachment,Acropora.desalwii,attached
substrate_attachment,Acropora.digitifera,attached
substrate_attachment,Acropora.divaricata,attached
substrate_attachment,Acropora.donei,attached
substrate_attachment,Acropora.downingi,attached
substrate_attachment,Acropora.echinata,attached
substrate_attachment,Acropora.efflorescens,attached
substrate_attachment,Acropora.elegans,attached
substrate_attachment,Acropora.elegantula,attached
substrate_attachment,Acropora.elizabethensis,attached
substrate_attachment,Acropora.elseyi,attached
substrate_attachment,Acropora.eurystoma,attached
substrate_attachment,Acropora.exquisita,attached
substrate_attachment,Acropora.fastigata,attached
substrate_attachment,Acropora.fenneri,attached
substrate_attachment,Acropora.filiformis,attached
substrate_attachment,Acropora.florida,attached
substrate_attachment,Acropora.formosa,attached
substrate_attachment,Acropora.forskali,attached
substrate_attachment,Acropora.gemmifera,attached
substrate_attachment,Acropora.glauca,attached
substrate_attachment,Acropora.globiceps,attached
substrate_attachment,Acropora.gomezi,attached
substrate_attachment,Acropora.grandis,attached
substrate_attachment,Acropora.granulosa,attached
substrate_attachment,Acropora.haimei,attached
substrate_attachment,Acropora.halmaherae,attached
substrate_attachment,Acropora.hemprichii,attached
substrate_attachment,Acropora.hoeksemai,attached
substrate_attachment,Acropora.horrida,attached
substrate_attachment,Acropora.humilis,attached
substrate_attachment,Acropora.hyacinthus,attached
substrate_attachment,Acropora.indiana,attached
substrate_attachment,Acropora.indonesia,attached
