observation_id,access,user_id,specie_id,specie_name,major_clade,family_molecules,family_morphology,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
110915,1,2,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125362,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,submassive,expert_opinion,,,,,
109409,1,31,3,Acanthastrea brevis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,123856,181,Corallite width minimum,28,mm,15,Image analysis,13.8,raw_value,,,,,
112771,1,31,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,38,,127218,90,Colony maximum diameter,29,cm,22,Derived from textual description,100,raw_value,,,,,
109411,1,31,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,123858,181,Corallite width minimum,28,mm,15,Image analysis,13.8,raw_value,,,,,
110917,1,2,4,Acanthastrea echinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125364,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,massive,expert_opinion,,,,,
110923,1,2,6,Acanthastrea hemprichi,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125370,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,massive,expert_opinion,,,,,
109415,1,31,6,Acanthastrea hemprichi,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,123862,181,Corallite width minimum,28,mm,15,Image analysis,10,raw_value,,,,,
112774,1,31,6,Acanthastrea hemprichi,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,127221,90,Colony maximum diameter,29,cm,22,Derived from textual description,100,raw_value,,,,,
110926,1,2,8,Acanthastrea ishigakiensis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125373,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,massive,expert_opinion,,,,,
112775,1,31,8,Acanthastrea ishigakiensis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,127222,90,Colony maximum diameter,29,cm,22,Derived from textual description,50,raw_value,,,,,
109417,1,31,8,Acanthastrea ishigakiensis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,123864,181,Corallite width minimum,28,mm,15,Image analysis,13.5,raw_value,,,,,
110928,1,2,12,Acanthastrea regularis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125375,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,massive,expert_opinion,,,,,
109419,1,31,12,Acanthastrea regularis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,65,,123866,181,Corallite width minimum,28,mm,15,Image analysis,5.3,raw_value,,,,,
112776,1,31,12,Acanthastrea regularis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,65,,127223,90,Colony maximum diameter,29,cm,22,Derived from textual description,30,raw_value,,,,,
109421,1,31,13,Acanthastrea rotundoflora,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,123868,181,Corallite width minimum,28,mm,15,Image analysis,10.3,raw_value,,,,,
110930,1,2,13,Acanthastrea rotundoflora,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125377,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,encrusting,expert_opinion,,,,,
112777,1,31,14,Acanthastrea subechinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,65,,127224,90,Colony maximum diameter,29,cm,22,Derived from textual description,20,raw_value,,,,,
110933,1,2,14,Acanthastrea subechinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125380,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,massive,expert_opinion,,,,,
109423,1,31,14,Acanthastrea subechinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,65,,123870,181,Corallite width minimum,28,mm,15,Image analysis,12.8,raw_value,,,,,
110936,1,2,16,Acropora abrolhosensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125383,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_open,expert_opinion,,,,,
109425,1,31,16,Acropora abrolhosensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,677,,123872,181,Corallite width minimum,28,mm,22,Derived from textual description,0.9,raw_value,,,,,
112780,1,31,16,Acropora abrolhosensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,37,,127227,90,Colony maximum diameter,29,cm,22,Derived from textual description,300,raw_value,,,,,
