present,species,MODSSTraw,MARSSTraw,varraw,Turbraw,waveraw,MODsst,MARsst,turb,var,wavepower,calc_rate,col_size,cor_size,gf,gr_rate,polyps,skel_dens,skel_micro,fam
1,Acanthastrea echinata,26.701506,26.359999,1.7167,0.06994386,0.164298,0.532215716,0.48873311,-0.376537046,-0.873391036,0.132289681,NA,100,22.5,massive,NA,NA,NA,NA,Lobophyllidae
0,Goniastrea retiformis,26.875303,26.619999,1.1517,0.09150131,0.419661,0.676020349,0.70581072,0.439287812,-1.6365139,1.301793462,0.442,100,6.5,massive,10.4,8.5,1.7,NA,Merulinidae
0,Acropora muricata,21.888655,22.3,4.1310997,0.09560884,0.010144,-3.873194415,-3.210526509,0.572632739,0.805436041,-0.705327401,0.692,1000,1.2,branching_open,185,21,2.6,2.854,Acroporidae
0,Pocillopora damicornis,25.365627,25.109999,4.6187997,0.075200796,0.217951,-0.605423888,-0.585729738,-0.156475089,1.018776067,0.397988544,0.641,200,1,branching_closed,108.62,67,2.05,NA,Pocilloporidae
0,Porites lobata,26.082157,25.74,5.2128997,0.09267254,0.033358,0.012025991,-0.037676625,0.47791058,1.25010646,-0.57132796,0.579,685,1.1,massive,23.6,76.7,1.51,NA,Poritidae
0,Porites lutea,25.787212,NA,NA,0.11222704,0.043329,-0.240055336,NA,1.059280671,NA,-0.514693547,0.438,400,1.3,massive,23.91,85.4,1.466,NA,Poritidae
0,Acropora hyacinthus,27.523998,27.119999,1.1761999,0.066249594,0.03934,1.204677048,1.11737249,-0.541316022,-1.596271086,-0.537285497,0.08,300,1.1,tables_or_plates,104.5,112,1.29,NA,Acroporidae
0,Acropora gemmifera,25.340168,25.07,4.1022997,0.06380109,0.015397,-0.62768207,-0.620988634,-0.65567304,0.792061239,-0.674737595,NA,NA,1.6,digitate,NA,126,NA,NA,Acroporidae
0,Acropora longicyathus,26.384869,26.029999,2.5986,0.042883173,0.044849,0.267798539,0.210107239,-1.862102117,-0.08081831,-0.506107653,NA,NA,1.3,hispidose,NA,NA,1.27,2.781,Acroporidae
0,Acropora aspera,25.752071,25.46,3.4824,0.07264705,0.326336,-0.270281409,-0.279580339,-0.261388068,0.478858788,0.900765528,NA,NA,1.8,branching_open,90.99,NA,0.92,2.788,Acroporidae
