"species","site","present","Latitude","Longitude","stdev","SST_p50","Chl_50p","skewnes","TSM_50P","PAR_50P","Calcification.rate","Colony.maximum.diameter","Corallite.width.maximum","Growth.form.typical","Growth.rate","Polyps.per.area","Skeletal.density","Skeletal.micro.density","molefam","morphfam"
"Acropora aspera",83,0,-19.838,158.29,1.64225375652313,25.4231262207031,0.20608676970005,0.0606523603200912,0.399384051561356,47.0939865112305,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",127,0,-10.483,142.2,1.81131947040558,27.6731262207031,3.76980924606323,-0.109322510659695,2.23581171035767,44.593448638916,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",228,0,-29.779,153.305,2.51418948173523,22.4249992370605,NA,0.426449209451675,NA,40.9135131835938,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",68,0,-13.246,143.909,1.87929248809814,26.7731246948242,2.14065146446228,0.00511331064626575,1.95467066764832,46.0488815307617,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",84,0,-9.939,144.023,1.59569144248962,27.1499996185303,0.526293754577637,-0.128346979618073,0.443398207426071,45.6243896484375,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",214,0,-18.516,147.53,1.95223236083984,26.4018745422363,0.133960425853729,-0.0232367645949125,0.360459864139557,47.3849411010742,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",90,0,-9.75,143.85,1.65008819103241,27.4481258392334,0.542775630950928,-0.163947969675064,0.465934455394745,45.211498260498,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",101,0,-31.528,159.05,2.06447076797485,21.5249996185303,0.197583243250847,0.129900142550468,0.425139963626862,39.9306716918945,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",45,0,-17.427,155.852,1.58217740058899,26.5481262207031,0.116096213459969,0.0522535629570484,0.322489678859711,46.1655120849609,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",138,0,-16.383,145.566,2.34729933738708,26.6268749237061,0.438577175140381,-0.0477329306304455,0.822582960128784,45.5086402893066,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",223,0,-13.16,143.95,1.77060151100159,26.7000007629395,2.72446465492249,0.00456530461087823,2.11965990066528,46.0726013183594,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",131,0,-18.595,146.489,2.58937573432922,26.4750003814697,0.484263122081757,-0.148054257035255,0.933936953544617,44.8490715026855,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",27,1,-11.694,144.028,1.73139977455139,26.7731246948242,1.17057538032532,-0.0224045440554619,1.84963130950928,45.0612907409668,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",154,0,-18.512,147.545,1.95223236083984,26.4018745422363,0.133960425853729,-0.0232367645949125,0.360459864139557,47.3849411010742,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",97,0,-18.766,146.533,2.63901495933533,26.4750003814697,0.498247742652893,-0.186930805444717,1.11389720439911,45.314380645752,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",169,0,-14.692,145.453,2.0716278553009,26.4750003814697,0.152895092964172,-0.00573915522545576,0.403914153575897,46.3644943237305,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",99,0,-14.483,145.25,2.02824735641479,26.4750003814697,0.167946219444275,0.00141927099321038,0.411302149295807,46.4995956420898,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",113,0,-9.749,143.399,1.79039573669434,27.5268745422363,1.8443500995636,-0.0697010532021523,1.72372114658356,44.0674095153809,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",212,0,-14.658,145.448,2.03184080123901,26.4750003814697,0.152984157204628,0.0367623306810856,0.403374493122101,46.6945724487305,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",44,0,-12.783,143.702,1.90678095817566,26.7365627288818,3.28841924667358,-0.0317258350551128,2.26391386985779,45.9787406921387,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",95,0,-27.45,153.416,2.46199488639832,23.3981246948242,6.09970998764038,0.123172774910927,1.83026885986328,40.806999206543,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
"Acropora aspera",11,0,-9.89,144.17,1.5533150434494,27.0768737792969,0.510847091674805,-0.103026166558266,0.451148688793182,46.1238403320312,NA,NA,"1.8","branching_open","90.99",NA,"0.92","2.788","Acroporidae","Acroporidae"
