,species,site,present,Latitude,Longitude,stdev,SST_p50,Chl_50p,skewnes,TSM_50P,PAR_50P,abundance_world,depth_lower,depth_range,found_off_reef,growth_form,range_size_veron_.pixels.,reproductive_mode_.ahb.,sexual_system,substrate_attachment,water_clarity_preference,wave_exposure_preference,zooxanthellae_in_propagules_.ahb.
3500,Acropora.cuneata,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,15,15,FALSE,laminar,5434,brooder,hermaphrodite,attached,clear,exposed,no
5373,Acropora.gemmifera,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,15,14,FALSE,digitate,4928,spawner,hermaphrodite,attached,clear,broad,no
5703,Acropora.glauca,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,rare,20,15,TRUE,corymbose,2012,spawner,hermaphrodite,attached,both,protected,no
6398,Acropora.humilis,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,11,11,FALSE,digitate,6545,spawner,hermaphrodite,attached,clear,exposed,no
6676,Acropora.hyacinthus,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,20,15,FALSE,tabular,7903,spawner,hermaphrodite,attached,clear,exposed,no
8217,Acropora.microclados,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,uncommon,20,15,FALSE,corymbose,6596,spawner,hermaphrodite,attached,clear,exposed,no
8838,Acropora.monticulosa,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,uncommon,12,11,FALSE,digitate,5697,spawner,hermaphrodite,attached,clear,exposed,no
11759,Acropora.solitaryensis,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,rare,25,20,FALSE,tabular,4376,spawner,hermaphrodite,attached,clear,broad,no
19153,Caulastrea.tumida,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,40,38,FALSE,phaceloid,2727,spawner,NA,attached,both,protected,no
25883,Favia.favus,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,50,50,TRUE,massive,6990,spawner,hermaphrodite,attached,clear,protected,no
27587,Favia.speciosa,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,50,50,TRUE,massive,6902,spawner,hermaphrodite,attached,clear,broad,no
29543,Fungia.fungites,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,50,49,TRUE,solitary,7113,spawner,gonochorous,unattached,clear,protected,no
32456,Goniastrea.australensis,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,40,40,TRUE,massive,6431,spawner,hermaphrodite,attached,clear,broad,no
37095,Hydnophora.exesa,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,55,54,FALSE,encrusting,6506,spawner,hermaphrodite,attached,clear,protected,no
49211,Mycedium.elephantotus,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,70,67,FALSE,encrusting,6669,spawner,hermaphrodite,attached,clear,protected,no
51345,Pavona.decussata,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,20,19,FALSE,foliaceous,6924,spawner,NA,attached,both,broad,no
54119,Platygyra.sinensis,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,uncommon,30,30,TRUE,massive,6772,spawner,hermaphrodite,attached,clear,broad,no
54421,Plesiastrea.versipora,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,uncommon,40,39,TRUE,encrusting,7036,spawner,gonochorous,attached,clear,protected,no
54787,Pocillopora.damicornis,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,55,54,FALSE,branching,7431,brooder,hermaphrodite,attached,both,broad,yes
58606,Porites.stephensoni,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,uncommon,5,5,FALSE,massive,5113,brooder,NA,attached,clear,protected,yes
62540,Stylophora.pistillata,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,65,64,FALSE,branching,6767,brooder,hermaphrodite,attached,clear,exposed,yes
64414,Turbinaria.mesenterina,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,common,20,17,FALSE,foliaceous,6975,spawner,gonochorous,attached,turbid,protected,no
65032,Turbinaria.radicalis,204,0,-38.1,144.88,3.398208618,15.67500019,1.419579387,0.098082878,0.781960726,33.2325058,rare,25,23,FALSE,encrusting,2328,spawner,NA,attached,clear,broad,no
